#Types Before Cut: 11115
#Types After Cut: 9737
#Search Hits: 0
354	8	21.834	эт
355	13	21.808	бывает
356	13	21.808	говорила
357	13	21.808	специально
358	18	21.750	все-таки
359	25	21.570	какой
360	14	21.500	надеюсь
361	10	21.181	интересные
362	10	21.181	рассказывала
363	19	20.393	хотел
364	11	20.039	будто
365	11	20.039	знаете
366	11	20.039	отец
367	11	20.039	пошел
368	78	19.875	больше
369	26	19.776	ей
370	63	19.691	где
371	16	19.531	уж
372	12	19.509	делали
373	12	19.509	купить
374	12	19.509	семье
375	13	19.290	другую
376	13	19.290	каким-то
377	14	19.259	девять
378	7	19.105	бабушкой
379	7	19.105	боже
380	7	19.105	буквы
381	7	19.105	да-да
382	7	19.105	двери
383	7	19.105	делаешь
384	7	19.105	детство
385	7	19.105	детьми
386	7	19.105	друзьями
387	7	19.105	ездить
388	7	19.105	ехали
389	7	19.105	живёт
390	7	19.105	забыла
391	7	19.105	задание
392	7	19.105	звук
393	7	19.105	карл
394	7	19.105	красивый
395	7	19.105	куда-нибудь
396	7	19.105	ненавижу
397	7	19.105	нету
398	7	19.105	одни
399	7	19.105	парень
400	7	19.105	переехали
401	7	19.105	понравилась
402	7	19.105	пошёл
403	7	19.105	пытаюсь
404	7	19.105	ребенок
405	7	19.105	ребят
406	7	19.105	секунд
407	7	19.105	скажи
408	7	19.105	троих
409	7	19.105	троллейбус
410	7	19.105	ушёл
411	7	19.105	чем-то
412	7	19.105	читаю
413	7	19.105	чуть-чуть
414	64	18.695	тогда
415	9	18.652	брали
416	9	18.652	едем
417	9	18.652	жил
418	9	18.652	институте
419	9	18.652	историю
420	9	18.652	маленькая
421	9	18.652	мое
422	9	18.652	нечего
423	9	18.652	смеется
424	9	18.652	твоя
425	23	18.255	равно
426	25	18.205	лучше
427	17	18.166	разные
428	73	17.978	поэтому
429	16	17.835	реально
430	10	17.659	написано
431	19	17.555	говоря
432	50	17.352	него
433	11	17.244	посмотреть
434	11	17.244	скажем
435	11	17.244	считаю
436	13	17.160	каких-то
437	13	17.160	языка
438	12	17.116	друзья
439	12	17.116	улице
440	28	16.974	соответственно
441	50	16.808	кто
442	17	16.703	заниматься
443	24	16.670	понятно
444	6	16.375	а-а-а
445	6	16.375	автобус
446	6	16.375	автобусе
447	6	16.375	ам
448	6	16.375	антифриз
449	6	16.375	бабуля
450	6	16.375	бабушки
451	6	16.375	бешбармак
452	6	16.375	вау
453	6	16.375	верно
454	6	16.375	волосы
455	6	16.375	восемнадцать
456	6	16.375	выпускной
457	6	16.375	вышла
458	6	16.375	гончар
459	6	16.375	готовился
460	6	16.375	дед
461	6	16.375	жигули
462	6	16.375	загрузили
463	6	16.375	запомнила
464	6	16.375	играли
465	6	16.375	идёт
466	6	16.375	квартиры
467	6	16.375	книги
468	6	16.375	колесо
469	6	16.375	коллектив
470	6	16.375	кормила
471	6	16.375	красиво
472	6	16.375	куда-то
473	6	16.375	культура
474	6	16.375	лагере
475	6	16.375	лингвистике
476	6	16.375	литературу
477	6	16.375	лук
478	6	16.375	любил
479	6	16.375	любимый
480	6	16.375	математике
481	6	16.375	мгм
482	6	16.375	мем
483	6	16.375	мужик
484	6	16.375	ногой
485	6	16.375	обед
486	6	16.375	орешки
487	6	16.375	погрей
488	6	16.375	подумала
489	6	16.375	покупайте
490	6	16.375	полу
491	6	16.375	польский
492	6	16.375	поступил
493	6	16.375	преподаватели
494	6	16.375	причём
495	6	16.375	пятёрка
496	6	16.375	саш
497	6	16.375	семьдесят
498	6	16.375	слышно
499	6	16.375	снимали
500	6	16.375	снимать
501	6	16.375	сорок
502	6	16.375	спал
503	6	16.375	спрашивают
504	6	16.375	студенты
505	6	16.375	сынок
506	6	16.375	так-то
507	6	16.375	том-то
508	6	16.375	убирай
509	6	16.375	учителей
510	6	16.375	учителем
511	6	16.375	худи
512	6	16.375	человечек
513	6	16.375	чувак
514	6	16.375	щас
515	6	16.375	этаж
516	6	16.375	эх
517	16	16.307	естественно
518	8	16.145	дверь
519	8	16.145	друзей
520	8	16.145	интересный
521	8	16.145	паре
522	8	16.145	работала
523	8	16.145	родителей
524	18	15.826	разных
525	18	15.826	сначала
526	22	15.613	дальше
527	99	15.586	чтобы
528	35	15.486	себя
529	13	15.321	завтра
530	9	15.312	берут
531	9	15.312	когда-то
532	9	15.312	машине
533	9	15.312	можете
534	9	15.312	половиной
535	9	15.312	тяжело
536	9	15.312	часа
537	38	15.167	достаточно
538	10	15.017	какое
539	10	15.017	мной
540	10	15.017	пришла
541	16	14.922	наша
542	15	14.494	вас
543	15	14.494	метро
544	25	14.484	плюс
545	45	14.285	эту
546	85	14.196	можно
547	17	14.141	начал
548	14	14.088	главное
549	115	14.026	были
550	24	13.938	шесть
551	7	13.666	взяла
552	7	13.666	готовили
553	7	13.666	женщины
554	7	13.666	лагеря
555	7	13.666	понравились
556	7	13.666	ходил
557	5	13.646	арахис
558	5	13.646	бабушку
559	5	13.646	баллов
560	5	13.646	бутово
561	5	13.646	ваня
562	5	13.646	венера
563	5	13.646	вернее
564	5	13.646	видела
565	5	13.646	вкусный
566	5	13.646	вложил
567	5	13.646	всё-таки
568	5	13.646	вырезать
569	5	13.646	выставках
570	5	13.646	вышло
571	5	13.646	гешу
572	5	13.646	горбачёв
573	5	13.646	гости
574	5	13.646	грязь
575	5	13.646	гэкаю
576	5	13.646	двадцати
577	5	13.646	делаем
578	5	13.646	доехали
579	5	13.646	ездила
580	5	13.646	ездит
581	5	13.646	ест
582	5	13.646	жестко
583	5	13.646	жесть
584	5	13.646	живу
585	5	13.646	жила
586	5	13.646	з
587	5	13.646	зашли
588	5	13.646	идешь
589	5	13.646	ии
590	5	13.646	имею
591	5	13.646	инопланетян
592	5	13.646	итак
593	5	13.646	камеру
594	5	13.646	каракатицах
595	5	13.646	картинки
596	5	13.646	квартира
597	5	13.646	кили
598	5	13.646	килограмм
599	5	13.646	классов
600	5	13.646	комнате
601	5	13.646	коридоре
602	5	13.646	красивые
603	5	13.646	крестик
604	5	13.646	крысу
605	5	13.646	лекцию
606	5	13.646	лилии
607	5	13.646	лингвисты
608	5	13.646	лол
609	5	13.646	лука
610	5	13.646	маккартни
611	5	13.646	мальчик
612	5	13.646	маме
613	5	13.646	маму
614	5	13.646	марс
615	5	13.646	математический
616	5	13.646	меровинги
617	5	13.646	мечты
618	5	13.646	миндаль
619	5	13.646	мол
620	5	13.646	молодец
621	5	13.646	нагло
622	5	13.646	настя
