слово,частота
хочешь,1
ея,3
безъ,1
большимъ,1
стояли,1
человѣка,4
опуская,1
о,7
счастливы,1
стекловидныя,1
блестѣть,1
доброе,1
вся,1
зажмурить,1
тѣмъ,4
часто,1
самонадѣянъ,1
свойство,3
нужно,5
подарить,1
васъ,4
съ,27
продавать,1
увѣрилъ,1
нашиты,1
до,4
можете,3
восьмая,1
ремнемъ,1
повернулся,1
испыталъ,1
мгновеніе,2
зайдемъ,1
точно,1
потому,11
провидѣніе,1
скотницею,1
на-яву,1
поступилъ,1
рождественскою,1
ненужная,2
бѣднымъ,2
серебряную,1
стало,1
же,8
рукою,2
дарила,1
шага,1
хотя,1
остался,1
скорѣй,1
стоитъ,2
памяти,1
потомъ,3
на,40
тебѣ,5
грошу,1
приходской,1
рождественскій,2
совѣтъ,1
ремень,1
жилета,1
имѣла,1
накупить,1
которая,3
ожидать,1
удивленію,1
отгадала,1
страхи,1
вмѣсто,1
поспѣшилъ,1
дѣтства,1
знаю,5
сдачи,1
говорили,2
вѣрить,1
хорошая,1
томъ,2
рада,2
сонъ,2
занялся,1
удовольствіемъ,1
неразмѣнные,1
тотъ,3
выдашь,1
нестаточное,1
русскаго,1
кладбищу,1
находила,1
нами,1
надо,10
отвѣчалъ,4
пока,2
вашихъ,1
потерять,1
отмѣтины,1
превосходныя,1
умѣренный,1
маленькихъ,1
пятая,1
благодаренъ,1
скажетъ,2
прочимъ,2
нему,1
но,27
вотъ,2
старушкамъ,1
распространилась,1
высшее,1
дѣло,3
сохранить,1
говорить,3
влажностью,1
большія,1
кто,3
хорошенько,1
волшебными,1
можешь,1
своей,2
ночью,1
барчукъ,1
своемъ,4
захотѣлъ,1
была,3
прежде,1
стоимъ,1
сосульки,1
опускалъ,1
заснуть,1
нѣсколько,2
свистульки,1
ладонь,1
вторая,1
мармотками,2
зато,2
немножко,1
заплатить,2
заглядѣнье,1
улыбаясь,1
весь,1
порицанія,1
моя,2
дать,1
ярмарка,1
признаться,1
безрасходный,1
воздухѣ,1
зналъ,2
нужное,1
почувствовалъ,2
теплаго,1
только,8
изображала,1
рубль,42
смотрѣли,3
счастливый,1
попался,1
своимъ,1
продолжаетъ,1
скорбѣла,1
досталъ,2
добродѣтели,1
дѣтямъ,2
разумѣется,1
дьяволомъ,1
нечего,1
возвращается,1
лакомствъ,1
издали,1
бралъ,1
особенно,1
бы,7
всякій,2
одного,2
невѣстѣ,1
испытывалъ,1
улыбнулся,1
эти,4
е,1
истиннаго,1
сомнѣвается,1
ага,1
рѣшила,1
мальчикомъ,1
нѣтъ,3
кое-что,2
сердоликовыя,1
душою,1
восемь,1
другъ,1
которое,2
другихъ,4
по,11
обнялись,1
возможностію,1
самомъ,2
богатства,1
моего,1
которые,2
испробовать,1
пролетѣла,1
расходы,2
бабушкой,1
этой,3
жилеткѣ,1
читать,1
несчастіе,1
монету,1
послѣ,3
держала,2
наборный,1
принялъ,1
тусклое,2
лакомство,1
позабыли,1
обманула,1
обрадовалъ,1
бѣдныхъ,1
коробку,1
новому,1
руководиться,1
глаза,1
словахъ,1
грѣютъ,1
новенькій,1
этотъ,4
отдавайте,1
свободнаго,1
который,4
егоркѣ,1
басняхъ,1
взять,1
зависитъ,1
семей,1
сдѣлались,1
возьмись,1
пуговицы,3
происходило,1
василію,3
ее,4
музыкальными,1
приходъ,1
истинную,1
оказался,1
купили,1
хорошее,1
полезны,1
впервые,1
сдѣлать,4
привозимыя,1
сказалъ,2
думаю,1
овчиной,1
прекрасно,2
нуженъ,1
самыя,1
моемъ,2
отдаю,1
кромѣ,2
свѣтятъ,1
выше,1
продать,1
углы,1
другой,1
предупредила,1
ситцы,1
говорю,2
меньше,1
навязывать,1
подарокъ,1
куплю,2
прочитаю,1
пользу,1
двѣ,1
путь,1
лицо,4
сдѣлаться,1
понимаете,1
одной,3
пуговицу,2
отцу,3
у,13
рублю,2
обо,3
маленькаго,1
глазахъ,1
какого-то,1
вижу,3
финики,1
гордиться,1
звѣрька,1
отвернулся,1
облизывались,1
дорого,1
свистулькахъ,1
дорогая,1
цѣлехонекъ,1
прошептала,1
ложь,1
моею,1
себѣ,6
книжкою,1
его,19
продамъ,1
стороны,1
цѣлъ,1
видно,1
всего,2
отправились,1
нужныя,1
патокою,1
моему,3
было,12
вещь,2
получить,2
показалось,1
удовольствіе,2
увидѣлъ,1
смотрите,1
растаялъ,1
обольщенный,1
такое,2
самый,2
понимаю,1
молодому,1
кроватки,1
стекловидными,2
торговаться,1
бѣлой,1
пить,1
четвертая,1
нѣкоторыя,1
помню,1
покачала,1
настойчиво,1
генералами,1
деревнѣ,1
она,12
няня,3
малиновому,1
ко,1
гдѣ,2
поворачивался,1
богатые,1
сторону,2
когда,6
исполнилось,1
видѣнное,1
затаенный,1
покупать,3
константину,1
егорка,1
калибрѣ,1
походить,1
мнѣ,22
ты,21
самую,1
составлявшій,1
утро,1
котораго,2
умъ,1
уже,11
свои,1
склонны,1
придтись,1
лицу,1
непремѣнно,2
лавочкѣ,1
нужды,1
со,4
любила,1
что-нибудь,1
сновидѣніи,1
рюшевыми,2
многіе,1
увѣренъ,2
псалмы,1
ваше,1
старушки,1
лежала,1
даю,1
